"TokenVar","TokenType","TokenString","ClassName","RegOffset","InjectionCount","TargetProps","HasRegistration"
"bY","Symbol.for","aiAgent.ILogService","MX","7154098","66","_agentAvatarMap, _configurationStore, _credentialConnectorService, _initFromCacheProm, _persistenceService, _se, _sessionService, _storageFacade, _teaService, _viewsInfra","True"
"Eh","Symbol.for","aiAgent.IStorageFacade","Ey","7030045","25","_credentialConnectorService, _logService, _nativeUIInfra, _sessionStore","True"
"M0","Symbol.for","aiAgent.ISessionService","Ht","7824939","25","_agentAvatarMap, _aiClientManagerService, _fpsRecord, _persistenceService, _promise, _viewsInfra","True"
"kS","Symbol.for","aiAgent.IAiAgentClientManagerService","","7160482","24","_agentAvatarMap, _aiClientManagerService, _chatStreamFirstTokenReporter, _stora, _teaFirstToken, _tokenUsageConfig","True"
"Au","Symbol.for","aiAgent.IFileFacade","","7056718","23","_agentAvatarMap, _persistenceService","True"
"Cv","Symbol.for","aiAgent.II18nService","Hx","7841051","22","_agentAvatarMap, _credentialConnectorService, _startWaitingMessage","True"
"Ci","Symbol","aiAgent.ICredentialConnectorService","M3","7157319","21","_credentialConnectorService, _initFromCachePromise, _sessionStore, _storageFacade","True"
"Tm","Symbol.for","ai.IDocsetStore","","7234317","21","_fileIconFacade","True"
"Ei","Symbol.for","aiAgent.ICredentialFacade","E_","7022679","17","_credentialConnectorService, _promise","True"
"ED","Symbol.for","aiAgent.IEnvironmentFacade","EJ","7035599","17","_storageFacade","True"
"xC","Symbol","ISessionStore","xR","7102392","13","_bootService","True"
"Do","","","","7303131","12","_fpsRecord","True"
"IN","Symbol","ISessionRelationStoreInternal","","7222646","12","_beforeStreamingStart, _bootService, _credentialConnectorServic","True"
"kA","Symbol.for","aiAgent.IAiNativeModelService","","7184832","11","","True"
"Ma","Symbol.for","ITeaFacade","Mu","7141007","10","","True"
"Di","Symbol.for","aiAgent.IAiAgentNativeChatService","Um","7637345","10","_viewsInfra","True"
"AM","Symbol.for","IUtilFacade","","7063458","10","_fpsRecord","True"
"Nc","Symbol","IEntitlementStore","Nf","7265404","9","_credentialConnectorService","True"
"Dj","Symbol.for","IUserMessageParser","DW","7318154","9","","True"
"Os","Symbol.for","aiAgent.IConfigurationConnectorService","Hl","7829958","9","","True"
"kd","Symbol.for","aiChat.IAIChatRequestErrorService","Do","7302266","9","_configurationStore, _fileDiffState, _logService","True"
"zf","Symbol.for","IErrorStreamParser","zb","7502824","9","_chatStreamFirstTokenReporter, _fileDiffState","True"
"xL","Symbol.for","IWorkspaceFacade","xW","7122246","8","_fpsRecord","True"
"zp","Symbol","IChatStreamFirstTokenReporter","zm","7498512","7","_chatStreamFirstTokenReporter","True"
"Il","Symbol.for","aiAgent.ICommercialPermissionService","NT","7268550","7","_beforeStreamingStart, _credentialConnectorService, _slardar","True"
"jP","","","jG","7475995","7","","True"
"M5","Symbol.for","aiAgent.IAiClientManagerService","ku","7158806","7","","True"
"D6","Symbol","IAgentService","Uz","7651341","7","_configurationStore","True"
"zN","Symbol.for","IChatStreamBizReporter","zj","7510420","6","_chatStreamFirstTokenReporter, _fileDiffState","True"
"zt","Symbol.for","IChatStreamEmitter","zo","7489657","6","","True"
"I7","Symbol","IProjectStore","Ta","7230092","6","","True"
