"Index","Offset","TokenVar","TargetProp","TokenType","TokenString"
"1","6279517","e","","Symbol.for","react.fragment"
"2","7022222","","","",""
"3","7022368","","","",""
"4","7022506","","","",""
"5","7028516","","","",""
"6","7028655","","","",""
"7","7028818","","","",""
"8","7028981","","","",""
"9","7029104","","","",""
"10","7029289","","","",""
"11","7029460","","","",""
"12","7029635","","_scope","",""
"13","7029790","Er","_scope","",""
"14","7029937","Er","_scope","",""
"15","7034786","","","",""
"16","7034980","","","",""
"17","7035135","","","",""
"18","7035310","","","",""
"19","7035449","","","",""
"20","7043124","","","",""
"21","7043259","","","",""
"22","7043410","","","",""
"23","7043545","","","",""
"24","7043664","","","",""
"25","7043803","","","",""
"26","7043950","","","",""
"27","7044125","","","",""
"28","7044273","","","",""
"29","7044440","","","",""
"30","7044614","","","",""
"31","7044765","","","",""
"32","7054838","","","",""
"33","7054996","","","",""
"34","7055130","","","",""
"35","7055273","","","",""
"36","7055403","","","",""
"37","7055545","","","",""
"38","7055671","","","",""
"39","7055806","","","",""
"40","7055944","","","",""
"41","7056098","","","",""
"42","7056252","","","",""
"43","7056379","","","",""
"44","7056552","","","",""
"45","7062915","","","",""
"46","7063053","","","",""
"47","7063199","","","",""
"48","7063321","","","",""
"49","7102196","Eh","","Symbol.for","aiAgent.IStorageFacade"
"50","7102286","Ci","","Symbol","aiAgent.ICredentialConnectorService"
"51","7119631","","","",""
"52","7119798","","","",""
"53","7119920","","","",""
"54","7120054","","","",""
"55","7120192","","","",""
"56","7120338","","","",""
"57","7120496","","","",""
"58","7120670","","","",""
"59","7120812","","","",""
"60","7120954","","","",""
"61","7121089","","","",""
"62","7121240","","","",""
"63","7121367","","","",""
"64","7121498","","","",""
"65","7121646","","","",""
"66","7121819","AM","","Symbol.for","IUtilFacade"
"67","7121966","AM","","Symbol.for","IUtilFacade"
"68","7122060","xC","","Symbol","ISessionStore"
"69","7122149","ED","","Symbol.for","aiAgent.IEnvironmentFacade"
"70","7124996","","","",""
"71","7125143","","","",""
"72","7125270","","","",""
"73","7125405","","","",""
"74","7125556","","","",""
"75","7125699","","","",""
"76","7125842","","","",""
"77","7125993","","","",""
"78","7126168","","","",""
"79","7130044","","","",""
"80","7130178","","","",""
"81","7130336","","","",""
"82","7130521","","","",""
"83","7130687","","","",""
"84","7130825","","","",""
"85","7130951","","","",""
"86","7131093","","_codeEditorService","",""
"87","7131255","","_codeEditorService","",""
"88","7131381","","_codeEditorService","",""
"89","7133498","","","",""
"90","7133649","","","",""
"91","7133791","","","",""
"92","7137104","","","",""
"93","7137234","","","",""
"94","7137376","","","",""
"95","7138940","","","",""
"96","7139086","","","",""
"97","7139252","","","",""
"98","7139847","","","",""
"99","7140750","","","",""
"100","7141198","","","",""
"101","7145196","Ei","","Symbol.for","aiAgent.ICredentialFacade"
"102","7145335","Ei","","Symbol.for","aiAgent.ICredentialFacade"
"103","7145458","Ei","","Symbol.for","aiAgent.ICredentialFacade"
"104","7145563","","","",""
"105","7145713","","","",""
"106","7145860","","","",""
"107","7145998","","","",""
"108","7146160","","","",""
"109","7146896","","","",""
"110","7148133","","","",""
"111","7150367","","","",""
"112","7150506","","","",""
"113","7150887","","","",""
"114","7153047","","","",""
"115","7153178","","","",""
"116","7153341","","","",""
"117","7153903","AM","","Symbol.for","IUtilFacade"
"118","7157051","Ei","_promise","Symbol.for","aiAgent.ICredentialFacade"
"119","7157143","M0","_promise","Symbol.for","aiAgent.ISessionService"
"120","7157225","M0","_promise","Symbol.for","aiAgent.ISessionService"
"121","7158529","","","",""
"122","7158711","","","",""
"123","7160205","","","",""
"124","7160387","","","",""
"125","7184644","MR","","Symbol.for","aiAgent.ISlardarFacade"
"126","7184734","kS","","Symbol.for","aiAgent.IAiAgentClientManagerService"
"127","7195492","","","",""
"128","7208762","Eh","","Symbol.for","aiAgent.IStorageFacade"
"129","7208852","bY","_initFromCacheProm","Symbol.for","aiAgent.ILogService"
"130","7208939","Ci","_initFromCachePromise","Symbol","aiAgent.ICredentialConnectorService"
"131","7221668","Ix","","Symbol","ISessionRelationStorageService"
"132","7221759","xC","","Symbol","ISessionStore"
"133","7221848","k1","","Symbol","IModelStore"
"134","7221962","Il","","Symbol.for","aiAgent.ICommercialPermissionService"
"135","7222066","bY","","Symbol.for","aiAgent.ILogService"
"136","7222153","Ei","","Symbol.for","aiAgent.ICredentialFacade"
"137","7222246","","","",""
"138","7222409","k5","","Symbol.for","IModeStorageService"
"139","7222548","k5","","Symbol.for","IModeStorageService"
"140","7225427","Eh","","Symbol.for","aiAgent.IStorageFacade"
"141","7228206","Eh","","Symbol.for","aiAgent.IStorageFacade"
"142","7233729","Eh","_logService","Symbol.for","aiAgent.IStorageFacade"
"143","7234147","Ma","","Symbol.for","ITeaFacade"
"144","7234227","bY","","Symbol.for","aiAgent.ILogService"
"145","7249573","Ci","","Symbol","aiAgent.ICredentialConnectorService"
"146","7249667","Eh","","Symbol.for","aiAgent.IStorageFacade"
"147","7249759","Eh","","Symbol.for","aiAgent.IStorageFacade"
"148","7249849","bY","","Symbol.for","aiAgent.ILogService"
"149","7249936","Tm","","Symbol.for","ai.IDocsetStore"
"150","7253154","TL","","Symbol.for","aiChat.ICustomRulesService"
"151","7253249","ED","_storageFacade","Symbol.for","aiAgent.IEnvironmentFacade"
"152","7253407","ED","_storageFacade","Symbol.for","aiAgent.IEnvironmentFacade"
"153","7254439","Eh","","Symbol.for","aiAgent.IStorageFacade"
"154","7260632","TX","","Symbol","ITeamAgentSubmittedService"
"155","7260782","TX","","Symbol","ITeamAgentSubmittedService"
"156","7260878","TX","","Symbol","ITeamAgentSubmittedService"
"157","7260979","TJ","","Symbol","ITeamAgentFirstSubmittedService"
"158","7261085","","","",""
"159","7261231","","","",""
"160","7263387","","","",""
"161","7266734","","","",""
"162","7268271","Nc","","Symbol","IEntitlementStore"
"163","7268363","Nc","","Symbol","IEntitlementStore"
"164","7268456","kA","","Symbol.for","aiAgent.IAiNativeModelService"
"165","7288133","kb","","Symbol.for","IModelStorageService"
"166","7288229","k5","","Symbol.for","IModeStorageService"
"167","7288324","ka","","Symbol.for","aiAgent.IAiNativeModelService"
"168","7288421","Ei","","Symbol.for","aiAgent.ICredentialFacade"
"169","7288513","kA","","Symbol.for","aiAgent.IAiNativeModelService"
"170","7288604","k1","","Symbol","IModelStore"
"171","7288691","Ci","","Symbol","aiAgent.ICredentialConnectorService"
"172","7288794","bY","","Symbol.for","aiAgent.ILogService"
"173","7288881","Ma","","Symbol.for","ITeaFacade"
"174","7289071","Ma","","Symbol.for","ITeaFacade"
